trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,Tmin_K,Tmean_K,U_pct,maxErosionTmax_K,lifetimeH,R_L_pct,eta_L_pct,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,lifeTotalP03sphere_J,eta_E_pct,objectiveScore,uPenalty_pctpt,U_limit_pct,selfViewLoss_pct,failureReached,erosionSteps,overtempStep,overtempTimeH,overtempTmax_K,runnerStatus,status,voltagePolicy,voltageObjective,elapsed_sec
0,3.4389137243455306,2.5002460326526323,1.589474633703046,2.0967147067560936,1.171875,3208.498145568109,293.14854407484324,1208.7308971474542,241.19095560255371,3261.8830616515093,154.98927208687758,64.02422164837404,-35.97577835162596,114.8222056784827,121.73977456602822,92.7404780693097,98.57477780779524,51745605.08022484,-50.997401661638534,-74.12194941348702,92.49819100739396,178.4313175141917,0.0,True,17,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,502.0
1,4.265327472421006,1.7442937956102973,1.291955550827304,1.447505289210568,1.171875,3216.7242945081694,293.15054554260524,770.2149078804846,379.5789615408508,3256.56563535132,257.28515509254834,106.2814320932363,6.281432093236308,67.15580204868509,71.56454066639033,53.54405740953729,57.25593481752602,49593928.01362961,-53.035019482219866,-110.75656871864263,230.88619694569104,178.4313175141917,0.0,True,26,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,778.7
2,2.749223303251334,0.9973651901099712,1.128127128223496,3.895428485928465,1.513671875,3230.7654509407866,293.1421625069929,2195.3978998733337,133.80823989142394,3230.7654509407866,30.0,12.392642558993233,-87.60735744100676,310.5244542924744,327.08754907836754,255.71608021796453,269.3969967827625,27617336.66354017,-73.84664352459279,-73.84664352459279,0.0,178.4313175141917,0.0,False,4,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,206.1
3,3.284769978850619,2.9022968871967363,1.7540161714686167,1.64632506961305,1.123046875,3135.504219857661,293.1486330207591,1011.282469726631,281.0644574512644,3140.453998803093,500.0,206.54404264988725,106.54404264988725,56.5405250755014,60.97516758328335,53.65839437591008,57.94146821998872,96585109.87663814,-8.534814939092357,-41.627738153118514,132.37169285610463,178.4313175141917,0.0,False,50,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,1049.7
4,3.1961289629141154,1.5257762305576397,3.060432060783631,1.7579880966646275,1.171875,3163.641767944065,293.1481298347664,1611.2366436019236,178.15468941249395,3228.213123069147,372.826705109489,154.01026976230244,54.01026976230246,158.46733213919515,170.70977032481807,128.78355853019522,139.76948956000706,172850219.27671576,63.68752196022833,56.32204075589478,29.461924817334193,178.4313175141917,0.0,True,39,,,,OK,OK,max_safe,lifeTotalP03sphere_J,759.4
5,3.366565681514425,2.434697658006411,2.081828431016805,1.8451214621150336,1.123046875,3135.6322644785164,293.1508995477881,1211.4468054409901,234.6352602660098,3140.7465687707763,500.0,206.54404264988725,106.54404264988725,69.95562473033615,75.64204998621966,65.78566145765303,71.25222017968925,118414190.62377547,12.137117958189009,-9.3485059595235,85.94249567085004,178.4313175141917,0.0,False,50,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,719.7
6,2.2064331229915823,2.7169025644983233,1.2284270155222985,3.3527690639713055,1.318359375,3223.3656623234338,293.1500684875193,1979.8262532613335,148.00367400972794,3274.909615772375,64.14852209990676,,,260.2054399184977,273.95924405647344,252.07952329818096,265.19456403527084,58213903.93641836,,,,178.4313175141917,0.0,False,14,14,64.14852209990676,3274.909615772375,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,432.7
7,2.867816557292958,3.8724130516781194,0.9055960047595485,0.9797659042204228,1.171875,3225.1232395069155,293.14973961365354,582.364668157965,503.4600586548584,3253.5202570061892,500.0,206.54404264988725,106.54404264988725,36.83456505575098,39.28782356405916,29.749437113228534,31.822393148127365,53548986.803811364,-49.28961623494103,-137.9814397498657,354.76729405969866,178.4313175141917,0.0,False,50,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,1011.4
8,1.3242384486739063,3.4844102175107814,2.641658476582643,2.031481838525578,1.220703125,3178.4077941431397,293.16339443908873,2528.110475079778,114.12651575730696,3275.582629206599,145.90598046988313,,,256.8237558926957,275.5175635528178,226.10036753029206,243.65460292001345,118761824.9127895,,,,178.4313175141917,0.0,False,16,16,145.90598046988313,3275.582629206599,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,375.9
9,1.6114287339978803,1.4505585129145477,1.7476633295508186,4.152691936852585,1.416015625,3261.1549865025777,293.15041338321674,2815.849398204531,105.40352673022386,3274.365601215735,46.50246184328629,,,402.12191134576665,422.50329011262204,390.5605272471645,410.3048949131311,65383293.656898156,,,,178.4313175141917,0.0,False,6,6,46.50246184328629,3274.365601215735,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,265.7
10,4.348736613627096,1.391696687330394,0.9114525307799262,1.822340385303363,1.26953125,3198.3247620283823,293.14979533597494,824.648129365365,352.29267650533325,3275.4220037504188,34.83188607706038,,,117.20926014251017,123.39876796543469,110.36314121449581,116.1358948916342,13838962.902803445,,,,178.4313175141917,0.0,False,15,15,34.83188607706038,3275.4220037504188,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,408.3
11,3.7567983279106096,2.138576315016901,2.3282026606940835,0.9446851533679197,1.123046875,3156.0871034988972,293.1501100098969,658.0522186460781,435.0622811331605,3157.284801808749,500.0,206.54404264988725,106.54404264988725,20.97621653717323,23.109928316353937,20.941250841002347,23.07107464613029,37694251.51380423,-64.30390052000729,-135.89627965450748,286.36951653800077,178.4313175141917,0.0,False,50,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,848.8
12,2.1645161042344143,1.9734814412011468,3.5587451348073142,1.9379303654233266,1.171875,3206.5615644056497,293.15003823895114,2043.6367838976594,142.56014322712423,3259.4487787549874,381.24584081318073,157.48811441001945,57.48811441001944,175.39539553980387,189.90307836943202,137.5388606323249,150.26923718587332,188770026.83852735,78.76342907090952,78.76342907090952,0.0,178.4313175141917,0.0,True,40,,,,OK,OK,max_safe,lifeTotalP03sphere_J,887.9
13,2.076531769926112,0.8783075920430823,3.6360352081700484,2.5876320347365476,1.611328125,3228.022152055602,293.15308356502413,2626.7880189614566,111.72843211196486,3261.8763354020616,90.17337147679507,37.24954536837457,-62.75045463162543,432.4172767462268,454.37469607473656,431.1090188550332,452.61772245870884,139948393.3351616,32.529804146067356,32.529804146067356,0.0,178.4313175141917,0.0,True,30,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,831.6
14,0.8038157071869751,1.9773406351815894,3.576611499930288,2.7661985648007246,1.708984375,3255.9440139187823,293.1461140481092,3105.8708660591715,95.39346700624311,3272.492019668027,36.32515374323448,15.005488208012666,-84.99451179198734,522.8546474211021,548.1084336884715,511.1524797702408,535.7131433259038,66843692.690002374,-36.69965556953495,-36.69965556953495,0.0,178.4313175141917,0.0,True,26,,,,OK,PRUNE_LIFETIME,max_safe,lifeTotalP03sphere_J,592.9
15,2.3248192253619333,1.5980830925801026,3.1037395566931596,2.721791094631494,1.26953125,3259.752802041774,293.1486989927597,2440.8203117058024,121.54127400618688,3277.252481555422,15.464311484693566,,,317.54033424728453,334.29197879110836,314.0594599283151,330.70650520528295,17484167.926965967,,,,178.4313175141917,0.0,False,4,4,15.464311484693566,3277.252481555422,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,243.1
16,2.863063468479979,1.2335332373360697,3.1051859610822703,2.3746754462326347,1.318359375,3211.3569517387577,293.1499841191242,2139.9354453121277,136.36892524082606,3275.977165135128,43.65026406410842,,,320.23952612538505,337.1658552915984,312.7918989314666,329.45868563651527,49152416.34770075,,,,178.4313175141917,0.0,False,12,12,43.65026406410842,3275.977165135128,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,483.5
17,1.735386514784993,4.38317732367358,0.8007978991754376,1.4611341205420916,1.26953125,3247.0921377744758,293.15072465198244,1011.0869222459986,292.1550410879309,3273.2718739172415,8.44142920187212,,,91.55273895168351,97.1083515371443,89.19112733204074,94.60370937547445,2710442.1125109,,,,178.4313175141917,0.0,False,5,5,8.44142920187212,3273.2718739172415,FAIL_OVERTEMP_DURING_EROSION,FAIL_OVERTEMP_DURING_EROSION,max_safe,lifeTotalP03sphere_J,314.1
18,2.4296408736147033,1.968075891363155,3.16257100029923,2.2850967548798082,1.171875,3186.4113801565095,293.14964609145784,2087.0692926380534,138.62796718205615,3242.3962397052246,287.77580999121415,118.87675834486235,18.876758344862353,198.04473592856763,211.92468460040897,165.24672409147243,177.91858878808725,171194435.54574537,62.119510435807236,62.119510435807236,0.0,178.4313175141917,0.0,True,30,,,,OK,OK,max_safe,lifeTotalP03sphere_J,845.1
19,2.47869337801156,3.1267883431828603,2.6832582709769532,1.3709116842346913,1.123046875,3158.2577218809415,293.1499808717483,1146.3078692929919,249.9422552840281,3161.8375081307663,500.0,206.54404264988725,106.54404264988725,38.66193754470486,43.098999105393574,38.25945447787293,42.65139276570844,68867018.06017128,-34.783585590867446,-60.09595826308453,101.24949068886835,178.4313175141917,0.0,False,50,,,,OK,PRUNE_U,max_safe,lifeTotalP03sphere_J,991.8
