trial,r1_mm,r2_mm,r3_mm,r4_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
131,1.428831616,3.738258303,1.526193842,2.57965064,1.025390625,3241.069702,38.01496953,588.4669198,618.3998411,526.359928,554.8294529,4.510364818,TRUE,11,OK,228
132,1.432176273,0.908216426,4.415453678,1.621043758,1.123046875,3240.324602,25.37330926,404.9176422,431.7260983,374.4427049,400.1671669,3.490427922,TRUE,17,OK,287.5
133,1.533349583,3.704349627,1.52744463,2.567790062,1.025390625,3228.458443,74.7688874,616.3791875,646.7189877,518.3455895,546.3391107,4.669784255,TRUE,12,OK,266
134,1.058051017,3.825369769,1.486444882,2.652839194,0.9765625,3203.41249,52.74822344,419.5587076,446.1489191,375.5213514,400.8998542,3.032928561,TRUE,11,OK,206.9
135,1.183279286,3.988158203,1.523032997,2.318364676,1.025390625,3251.789335,28.57394271,504.4784142,533.3564304,457.4299256,485.13286,2.644964,TRUE,10,OK,198.6
136,1.347234897,3.719615864,1.631851136,2.585822467,0.9765625,3250.710132,30.75562211,545.5622401,574.5193031,493.3653679,521.0758103,3.70174493,TRUE,11,OK,197.8
137,1.428754732,3.533751233,1.286012438,2.969416465,1.123046875,3232.335904,64.26596616,594.1591907,623.8750917,501.9756156,529.5755798,6.93105945,TRUE,12,OK,277.7
138,1.586207496,4.241978195,1.549549777,1.445151292,0.927734375,3204.996924,47.9430956,467.8449695,496.4233308,431.7268425,459.3142902,0.474530026,TRUE,12,OK,368.2
139,1.681897719,3.628242495,1.45280246,2.626107665,0.9765625,3209.078888,68.43164314,580.1944757,609.7147225,508.2134654,535.9750775,5.301017392,TRUE,12,OK,285
140,1.767893912,3.776299053,2.073906938,1.820172133,0.87890625,3263.259231,37.77533489,586.1019162,615.4811996,531.907558,559.9726735,1.308457354,TRUE,12,OK,378
141,1.772309413,1.480290032,1.201750206,4.268894143,1.025390625,3260.355668,30.23413779,472.5783203,497.8117235,421.314675,445.0093419,-0.498121295,TRUE,14,OK,390.5
142,1.880934662,3.802351248,2.061823103,1.659245394,0.830078125,3225.070659,51.71506411,525.252684,553.6148518,477.2927019,504.4756309,1.239962712,TRUE,12,OK,247.5
143,1.518483693,3.879906024,1.594945372,2.257584058,1.025390625,3236.462011,64.78789647,623.8563606,654.7046587,528.5884187,557.0995863,3.114874585,TRUE,12,OK,257.8
144,1.477990128,3.869799551,1.598405228,2.298977456,1.022132977,3245.751969,42.65139392,612.4131783,643.0334339,539.9282304,568.8186069,3.305864065,TRUE,12,OK,280.8
145,1.49077718,3.889819505,2.12676722,1.767413028,0.927734375,3200.75572,69.76115031,564.5910386,593.9193776,495.9455155,523.5870005,0.832183105,TRUE,11,OK,242.4
146,1.295416886,4.01607485,2.151145122,1.601752962,0.9765625,3216.548494,45.90478073,523.222965,552.1588173,469.419306,497.0251905,0.741621858,TRUE,12,OK,203.6
147,1.618882882,3.872613244,1.600712557,2.195405244,0.9765625,3229.993726,69.37038975,602.0877835,632.4794224,521.0795368,549.3387159,2.83159272,TRUE,15,OK,275.9
148,1.397338229,4.080408995,1.567156699,1.985378602,1.07421875,3257.471757,37.813567,612.6374029,643.8211508,538.5133225,567.9009838,2.064654219,TRUE,11,OK,211.5
149,1.697448703,4.07446221,1.511048597,1.798376416,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,FAIL,128.7
150,3.599804399,3.227223201,0.954028529,0.846326335,0.87890625,3200.075099,65.07911134,228.1568355,248.0178573,201.6820699,220.545125,-5.834750722,TRUE,12,OK,301
