trial,N_RUNS,L_RUN_mm,z_first_mm,side_mm,Vwork_V,initialTmax_K,lifetimeH,initialP03sphere_W,initialPradSphere_W,lifeAvgP03sphere_W,lifeAvgPradSphere_W,selfViewLoss_pct,failureReached,erosionSteps,status,elapsed_sec
0,8,104.0,0.8,0.5700248399766747,100.0,3209.2964039078997,6.380255847412806,3688.0762952901277,3857.30918174262,3539.8289056726403,3704.345826593354,-3.3215549575501546,True,10,PRUNE_LIFETIME,574.2
1,12,213.82877017025805,2.695267735270208,0.3264177137714687,100.0,1907.3432650526795,0.0,566.6345636935597,665.7902180336317,nan,nan,nan,False,1,PRUNE_LIFETIME,39.5
2,16,30.84913297184247,1.664570558347299,0.7359089601294063,,,,,,,,,,,FAIL_Z_OVERLAP,0.0
3,14,289.14179075226053,2.059358651264796,0.2601415966363774,100.0,1532.8591351847258,0.0,240.4268591389843,315.90161999152696,nan,nan,nan,False,1,PRUNE_LIFETIME,58.7
4,16,126.16517032879783,2.2936473127095725,0.36774640668212377,100.0,2160.7101303229215,200.0,1064.8576889216918,1199.913034699084,1011.650355416329,1139.9576633616932,-8.802501821948505,False,20,OK,450.4
5,6,167.781426196687,1.6683396477159738,0.5189581537455407,100.0,2928.938422004537,10.0,2660.300348547472,2814.1497264268446,2660.300348547472,2814.1497264268446,0.6450304577151678,True,1,PRUNE_LIFETIME,39.4
6,14,120.38627988491511,0.9675292509790796,0.4021889590418603,100.0,2326.6559759240586,200.0,1360.4057712506403,1502.6383667646485,1274.2670326764583,1407.493231446928,-6.597475837753053,False,20,OK,403.2
7,10,164.37100955169555,1.7100953712949511,0.40721584816949263,100.0,2342.860694168118,200.0,1278.644453501797,1409.813603341277,1210.3512833221903,1334.51496115554,0.7754383798396436,False,20,OK,351.4
8,16,251.19549719907084,2.881711936077045,0.26107059714141834,100.0,1547.8611885910484,0.0,249.0632012455691,325.3008419526362,nan,nan,nan,False,1,PRUNE_LIFETIME,66.7
9,8,182.9912299450877,1.4160827052067595,0.4312727856860601,100.0,2465.0869549540475,200.0,1575.0994653555247,1716.7359235280774,1528.7813492873152,1666.258184444189,-5.636903804721438,False,20,OK,315.1
10,8,50.84622031015839,1.1699692168671558,0.808270449931713,42.138671875,3272.830035271593,5.114014867953721,2528.545142414731,2642.0465972386214,2522.0931040067253,2637.2029225309834,-0.03834913499998205,True,10,PRUNE_LIFETIME,612.6
