rank,trial,pareto,cap_limited,measured_failure,geometry,N_RUNS,L_RUN_mm,z_first_mm,side_mm,pathLength_mm,Vwork_V,objectiveScore,eta_E_pct,R_L_pct,eta_L_pct,lifetimeH,lifeTotalP03sphere_J,U_pct,U_delta_pctpt_vs_B2,U_relative_reduction_pct_vs_B2,initialP03sphere_W,lifeAvgP03sphere_W,maxErosionTmax_K,overtemp_margin_K,failureReached,capLimited,erosionSteps,E_gain_pct_vs_cylinder_trial68,life_ratio_pct_vs_cylinder_trial68,U_reduction_pct_vs_cylinder_trial68,E_gain_pct_vs_c8_verified_trial19,life_ratio_pct_vs_c8_verified_trial19,U_reduction_pct_vs_c8_verified_trial19,note
1,19,True,True,False,N=12; L_RUN_mm=92.0111; z_first_mm=2.2666; side_mm=0.4958,12,92.01113160151677,2.266631002891225,0.49582922105223914,1118.1335792182015,100.0,3216.033012905267,3216.033012905267,206.54404264988725,106.54404264988725,500.0,3501653800.7629585,97.09806128500705,-51.59470331015271,34.698866115394175,2494.22096250006,1945.3632226460882,2868.8820158586905,404.2679841413096,False,True,50,1336.9938319480927,132.15775446054064,23.566925106755555,26.450913694768207,129.91495288319868,0.19974237326795433,C9 lead lower-bound candidate; verify with higher max_lifetime_h before treating lifetime as final
2,0,False,False,True,N=12; L_RUN_mm=89.0993; z_first_mm=2.1050; side_mm=0.5038,12,89.09934228871522,2.10495899560028,0.5037629452411698,1083.1921074645827,100.0,2522.1048107544357,2522.1048107544357,158.96347940771028,58.963479407710274,384.8173914102409,2768881745.3999853,97.29239542462759,-51.40036917053217,34.568171027338174,2609.6712593495217,1998.6981756412224,2910.1918795183933,362.9581204816068,True,False,41,1036.2819444533643,101.71320465228075,23.413950313527376,-0.010781607734870666,99.98706654739372,1.0151403903623432e-11,
3,5,False,False,True,N=10; L_RUN_mm=102.0693; z_first_mm=1.9239; side_mm=0.5154,10,102.06930652458938,1.9238558844668632,0.5154341552312053,1034.6930652458939,100.0,1470.276235184866,1470.276235184866,90.33038300233945,-9.669616997660553,218.67099588889732,1658175212.9076045,97.38718238952984,-51.30558220562992,34.50442416974202,2712.944359763594,2106.3800616781036,2949.7687781907343,323.38122180926575,True,False,27,580.4749095179736,57.79813556465356,23.339336473751402,-40.12035950198797,56.817264255656454,-0.09742484443791942,
