case_id,family,role,geometry,Vwork_V,status,L_h,R_L_pct,eta_L_pct,E_J,eta_E_pct,U_pct,initialP03sphere_W,lifeAvgP03sphere_W,initialTmax_K,maxErosionTmax_K,notes
B2_official_cylinder,cylinder,official_scoring_baseline,"5 mm diameter, 15 mm height tungsten cylinder",1.168,OK,242.07911958397654,100.0,0.0,105597676.11285222,0.0,148.69276459515976,141.71534058283623,121.16983843767737,3237.5231479077183,3268.7131057218767,"Official initial structure; formal L_ini/E_ini/U_ini under current rematch model"
B3_reference_zigzag,zigzag,reference_baseline,"N_RUNS=8; L_RUN_m=104e-3; z_first_m=0.8e-3",100.0,OK,11.327102020141064,4.679091,-95.320909,114727713.99228866,8.646059,98.39250286328736,3567.532726729559,2813.5006982046693,3221.301497288533,3221.301497288533,"Reference zigzag only; not an official scoring baseline and not a final candidate"
